iso_code,country,year,renewables_share_energy,fossil_share_energy,coal_share_energy,oil_share_energy,gas_share_energy
DZA,Algeria,1980,0.403,99.597,0.42,37.382,61.795
DZA,Algeria,1981,0.473,99.527,0.243,33.155,66.129
DZA,Algeria,1982,0.536,99.464,3.915,30.47,65.078
DZA,Algeria,1983,0.241,99.759,3.198,31.334,65.227
DZA,Algeria,1984,0.483,99.517,3.693,36.139,59.686
DZA,Algeria,1985,0.684,99.316,3.824,36.827,58.665
DZA,Algeria,1986,0.25,99.75,3.71,35.33,60.71
DZA,Algeria,1987,0.486,99.514,4.316,34.763,60.435
DZA,Algeria,1988,0.166,99.834,3.789,32.474,63.57
DZA,Algeria,1989,0.211,99.789,3.293,34.992,61.504
DZA,Algeria,1990,0.119,99.881,2.433,35.501,61.946
DZA,Algeria,1991,0.261,99.739,2.534,35.453,61.752
DZA,Algeria,1992,0.173,99.827,2.935,34.758,62.134
DZA,Algeria,1993,0.329,99.671,2.569,37.175,59.928
DZA,Algeria,1994,0.153,99.847,2.388,35.129,62.33
DZA,Algeria,1995,0.171,99.829,2.303,32.941,64.585
DZA,Algeria,1996,0.121,99.879,1.096,31.759,67.024
DZA,Algeria,1997,0.07,99.93,1.999,32.783,65.148
DZA,Algeria,1998,0.194,99.806,2.067,32.649,65.091
DZA,Algeria,1999,0.181,99.819,2.192,31.759,65.867
DZA,Algeria,2000,0.05,99.95,1.881,34.385,63.685
DZA,Algeria,2001,0.061,99.939,2.095,34.355,63.488
DZA,Algeria,2002,0.049,99.951,2.655,36.776,60.52
DZA,Algeria,2003,0.214,99.786,2.092,36.564,61.13
DZA,Algeria,2004,0.194,99.806,2.404,36.813,60.589
DZA,Algeria,2005,0.408,99.592,1.887,36.653,61.053
DZA,Algeria,2006,0.153,99.847,2.705,36.881,60.261
DZA,Algeria,2007,0.15,99.85,2.203,39.136,58.51
DZA,Algeria,2008,0.176,99.824,2.079,40.121,57.624
DZA,Algeria,2009,0.2,99.8,1.259,40.137,58.404
DZA,Algeria,2010,0.108,99.892,0.821,41.373,57.698
DZA,Algeria,2011,0.221,99.779,0.689,41.391,57.7
DZA,Algeria,2012,0.211,99.789,0.669,40.267,58.853
DZA,Algeria,2013,0.061,99.939,0.342,39.775,59.822
DZA,Algeria,2014,0.11,99.89,0.356,37.899,61.635
DZA,Algeria,2015,0.091,99.909,0.25,38.244,61.415
DZA,Algeria,2016,0.137,99.863,0.092,37.21,62.561
DZA,Algeria,2017,0.232,99.768,0.339,36.157,63.271
DZA,Algeria,2018,0.271,99.729,0.869,34.023,64.837
DZA,Algeria,2019,0.277,99.723,0.692,34.132,64.899
DZA,Algeria,2020,0.283,99.717,0.235,32.665,66.818
DZA,Algeria,2021,0.238,99.762,0.439,31.265,68.059
DZA,Algeria,2022,0.228,99.772,0.296,30.908,68.568
DZA,Algeria,2023,0.227,99.773,0.268,30.367,69.138
ARG,Argentina,1980,9.006,89.612,2.369,63.407,23.836
ARG,Argentina,1981,9.004,89.281,2.316,61.27,25.695
ARG,Argentina,1982,10.539,88.349,2.284,57.562,28.504
ARG,Argentina,1983,10.597,87.462,1.986,56.102,29.373
ARG,Argentina,1984,11.376,85.986,1.471,53.322,31.193
ARG,Argentina,1985,11.979,84.698,2.199,50.199,32.3
ARG,Argentina,1986,11.631,85.231,2.395,49.56,33.276
ARG,Argentina,1987,11.583,85.018,2.544,50.612,31.862
ARG,Argentina,1988,7.946,89.062,2.559,49.974,36.53
ARG,Argentina,1989,7.116,90.189,2.869,47.555,39.766
ARG,Argentina,1990,9.729,86.305,2.405,45.211,38.69
ARG,Argentina,1991,8.57,87.28,2.079,46.499,38.702
ARG,Argentina,1992,9.64,86.826,2.187,45.597,39.042
ARG,Argentina,1993,11.552,84.698,1.406,43.332,39.96
ARG,Argentina,1994,12.563,83.661,1.166,43.565,38.93
ARG,Argentina,1995,11.83,85.032,1.185,41.882,41.965
ARG,Argentina,1996,9.646,87.189,1.186,39.993,46.009
ARG,Argentina,1997,11.781,84.886,0.924,42.13,41.832
ARG,Argentina,1998,10.78,86.215,1.195,41.959,43.061
ARG,Argentina,1999,8.606,88.579,1.41,42.293,44.876
ARG,Argentina,2000,11.557,85.985,1.076,38.646,46.263
ARG,Argentina,2001,15.036,82.098,0.905,36.762,44.431
ARG,Argentina,2002,15.335,82.217,0.704,36.317,45.196
